Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sorting,Chrome 132.0.0.0,,,04-02-2025 22:32:17,04-02-2025 22:32:38,"21,014s",PASSED
,,,,,,,
Test Cases/Positive Cases - Sorting - Name(A to Z),Chrome 132.0.0.0,,,04-02-2025 22:32:17,04-02-2025 22:32:24,"7,143s",PASSED
"openBrowser("""")",Chrome 132.0.0.0,,,04-02-2025 22:32:17,04-02-2025 22:32:19,"2,197s",PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 132.0.0.0,,,04-02-2025 22:32:19,04-02-2025 22:32:20,"0,634s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), ""standard_user"")",Chrome 132.0.0.0,,,04-02-2025 22:32:20,04-02-2025 22:32:22,"2,321s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), ""qcu24s4901FyWDTwXGr6XA=="")",Chrome 132.0.0.0,,,04-02-2025 22:32:22,04-02-2025 22:32:23,"0,368s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 132.0.0.0,,,04-02-2025 22:32:23,04-02-2025 22:32:23,"0,411s",PASSED
com.test.swaglabs.resetstate.ResetAppState.clickStateAtoZ(),Chrome 132.0.0.0,,,04-02-2025 22:32:23,04-02-2025 22:32:23,"0,004s",NOT_RUN
"verifyElementPresent(findTestObject(""Page_Swag Labs/div_ProductsName (A to Z)Name (A to Z)Name (Z to A)Price (low to high)Price (high to low)""), 0)",Chrome 132.0.0.0,,,04-02-2025 22:32:23,04-02-2025 22:32:23,"0,402s",PASSED
"click(findTestObject(""Page_Swag Labs/span_Name (A to Z)Name (A to Z)Name (Z to A)Price (low to high)Price (high to low)""))",Chrome 132.0.0.0,,,04-02-2025 22:32:23,04-02-2025 22:32:24,"0,328s",PASSED
closeBrowser(),Chrome 132.0.0.0,,,04-02-2025 22:32:24,04-02-2025 22:32:24,"0,240s",PASSED
,,,,,,,
