Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login to Swag Labs - Positive Cases,Chrome 132.0.0.0,,,30-01-2025 14:50:51,30-01-2025 14:51:04,"13,219s",PASSED
,,,,,,,
Test Cases/Positive Cases - Login with first account - standard_user,Chrome 132.0.0.0,,,30-01-2025 14:50:51,30-01-2025 14:50:59,"7,398s",PASSED
"openBrowser("""")",Chrome 132.0.0.0,,,30-01-2025 14:50:52,30-01-2025 14:50:55,"3,087s",PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 132.0.0.0,,,30-01-2025 14:50:55,30-01-2025 14:50:55,"0,497s",PASSED
"setText(findTestObject(""Page_Swag Labs/input_Swag Labs_user-name""), """")",Chrome 132.0.0.0,,,30-01-2025 14:50:55,30-01-2025 14:50:57,"2,073s",PASSED
"setEncryptedText(findTestObject(""Page_Swag Labs/input_Swag Labs_password""), """")",Chrome 132.0.0.0,,,30-01-2025 14:50:57,30-01-2025 14:50:58,"0,339s",PASSED
"click(findTestObject(""Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 132.0.0.0,,,30-01-2025 14:50:58,30-01-2025 14:50:58,"0,369s",PASSED
"verifyTextPresent("""", false)",Chrome 132.0.0.0,,,30-01-2025 14:50:58,30-01-2025 14:50:58,"0,546s",PASSED
closeBrowser(),Chrome 132.0.0.0,,,30-01-2025 14:50:58,30-01-2025 14:50:59,"0,205s",PASSED
,,,,,,,
Test Cases/Positive Cases - Login SwagLabs,Chrome 132.0.0.0,,,30-01-2025 14:50:59,30-01-2025 14:51:04,"5,583s",PASSED
"openBrowser("""")",Chrome 132.0.0.0,,,30-01-2025 14:50:59,30-01-2025 14:51:00,"1,354s",PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 132.0.0.0,,,30-01-2025 14:51:00,30-01-2025 14:51:01,"0,498s",PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), ""standard_user"")",Chrome 132.0.0.0,,,30-01-2025 14:51:01,30-01-2025 14:51:03,"2,128s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), ""qcu24s4901FyWDTwXGr6XA=="")",Chrome 132.0.0.0,,,30-01-2025 14:51:03,30-01-2025 14:51:03,"0,381s",PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 132.0.0.0,,,30-01-2025 14:51:03,30-01-2025 14:51:04,"0,399s",PASSED
"verifyTextPresent(""Products"", false)",Chrome 132.0.0.0,,,30-01-2025 14:51:04,30-01-2025 14:51:04,"0,519s",PASSED
closeBrowser(),Chrome 132.0.0.0,,,30-01-2025 14:51:04,30-01-2025 14:51:04,"0,187s",PASSED
